,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
282,26127,3.0501275,2.94774,45.32136,43.800003,0.28759083,1.5213585
283,26129,3.1741936,3.13618,47.16484,46.6,0.22616853,0.5648422
284,26133,2.7294164,3.15637,40.555965,46.899998,0.27361795,-6.3440323
285,26139,3.6781597,3.41211,54.65319,50.7,0.2727341,3.9531898
286,26141,2.6881242,2.11322,39.94241,31.4,0.25067645,8.54241
287,26145,3.6815925,3.45922,54.704197,51.399998,0.19308436,3.3041992
288,26147,3.146472,2.9612,46.752926,44.0,0.20517448,2.7529259
289,26149,3.56992,3.35154,53.044876,49.800003,0.24457453,3.244873
290,26151,3.6740003,3.51979,54.591385,52.3,0.16736096,2.2913857
291,26155,3.5779803,3.0958,53.164642,46.0,0.1748367,7.1646423
292,26157,3.6629024,3.62074,54.426483,53.8,0.17733634,0.6264839
293,26161,3.1777124,3.35827,47.217125,49.899998,0.24642497,-2.6828728
294,26163,2.942695,2.63143,43.725037,39.1,0.46339494,4.625038
295,27001,2.5797598,2.20071,38.33224,32.7,0.18068527,5.6322403
296,27003,3.176727,2.65162,47.202484,39.399998,0.2628748,7.8024864
297,27005,3.4037752,2.59105,50.576157,38.5,0.16690671,12.076157
298,27007,2.75597,1.93824,40.95052,28.800001,0.23239914,12.150518
299,27009,3.6917377,3.2977,54.854942,49.0,0.18815036,5.8549423
300,27011,3.7546875,2.53721,55.790306,37.7,0.17324488,18.090305
301,27013,4.0475,3.42557,60.141163,50.9,0.14952596,9.241161
302,27015,4.0235157,3.29097,59.784782,48.9,0.14585003,10.884781
303,27019,4.058868,3.51979,60.310074,52.3,0.14095351,8.010075
304,27021,3.0798907,1.87767,45.763607,27.900002,0.21575175,17.863605
305,27025,3.2625587,2.51702,48.47784,37.4,0.19687392,11.077839
306,27027,3.493548,2.58432,51.910072,38.4,0.19020827,13.510071
307,27029,3.1399245,2.56413,46.65564,38.100002,0.17542824,8.555637
308,27033,4.10361,3.22367,60.97489,47.9,0.15284899,13.07489
309,27037,3.9590726,3.82264,58.827232,56.8,0.20980012,2.0272331
310,27039,4.187616,3.64766,62.223118,54.2,0.15193407,8.023117
311,27045,4.1824355,3.82264,62.146145,56.8,0.16446528,5.3461456
312,27047,4.150546,3.60055,61.672306,53.5,0.14287263,8.172306
313,27049,4.1497636,3.79572,61.66068,56.4,0.15995188,5.2606773
314,27051,3.8188536,2.85352,56.74374,42.399998,0.18289517,14.343742
315,27053,3.6464846,3.13618,54.182537,46.6,0.20578615,7.5825386
316,27057,3.1094916,2.20744,46.20344,32.8,0.19824252,13.403442
317,27059,3.4234285,2.38915,50.86818,35.5,0.19725715,15.368179
318,27061,2.6585484,1.93824,39.50295,28.800001,0.23294589,10.702948
319,27063,3.860495,2.8266,57.362484,42.0,0.1485203,15.362484
320,27067,3.9419146,3.20348,58.57228,47.600002,0.14662062,10.972279
321,27069,3.1731772,2.61124,47.14974,38.8,0.17068361,8.349739
322,27071,2.3557136,1.6825,35.003174,25.0,0.24703908,10.003174
323,27073,3.9867435,3.13618,59.238388,46.6,0.1680406,12.63839
324,27079,4.0702677,3.25732,60.47946,48.399998,0.13837269,12.079464
325,27085,3.8635569,2.92755,57.407978,43.5,0.1341672,13.907978
326,27087,3.351241,2.49683,49.79556,37.1,0.16493188,12.69556
327,27089,3.06603,2.59778,45.55765,38.6,0.1993203,6.957653
328,27095,3.4160368,2.72565,50.75835,40.5,0.18946785,10.25835
329,27097,3.6070197,3.21694,53.59613,47.8,0.18939938,5.796131
330,27099,4.2106485,3.80918,62.565357,56.600002,0.16215837,5.965355
331,27103,4.2597623,3.60728,63.29513,53.600002,0.12618904,9.695129
332,27105,3.9807847,2.97466,59.149845,44.2,0.15212673,14.949844
333,27107,3.216446,2.30839,47.79266,34.3,0.19234449,13.4926605
334,27113,2.6430497,2.4901,39.272655,37.0,0.19424649,2.2726555
335,27115,3.1993117,2.42953,47.538063,36.1,0.18832153,11.438065
336,27119,3.2149675,2.88044,47.77069,42.8,0.18021616,4.9706917
337,27121,3.923454,3.02177,58.29798,44.9,0.17171851,13.39798
338,27125,2.882575,2.83333,42.831726,42.1,0.20359068,0.7317276
339,27129,3.890278,3.01504,57.805023,44.8,0.12819834,13.005024
340,27131,3.9001586,3.06888,57.95184,45.600002,0.14951517,12.351837
